source_id,source_file,source_row,variable_code,issue_code,severity,message,observed_value
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,10:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,110
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,10:precipitation,precipitation,Q08,medium,duplicate business key,0.3
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,10:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,305.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,11:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.8
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,11:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.82
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,11:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,95
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,11:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,11:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,137.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,12:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.9
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,12:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,5.61
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,12:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,94
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,12:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,12:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,14.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,13:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.9
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,13:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,6.38
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,13:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,104
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,13:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,13:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,14:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.5
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,14:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,6.42
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,14:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,108
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,14:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,14:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,15:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.1
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,15:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,6.09
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,15:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,106
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,15:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,15:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,16:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.9
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,16:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,5.38
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,16:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,108
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,16:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,16:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,17:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.8
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,17:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.76
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,17:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,107
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,17:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,17:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,18:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.7
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,18:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.38
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,18:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,104
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,18:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,18:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,19:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.7
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,19:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.75
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,19:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,114
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,19:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,19:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,20:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.6
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,20:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.94
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,20:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,116
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,20:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,20:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,21:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.6
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,21:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.88
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,21:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,114
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,21:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,21:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,22:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.5
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,22:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.81
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,22:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,117
