relative_path,source_partition,sniffed_format,size_bytes,sha256,cleaner_name,status,notes
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020830.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14286848,b3acf59aa687b12a3ffda5bfc0878b1c74d9a1eda27d4bee0729dc189aa18788,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020905.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,15335424,ed6aa053f56987fc854c98edfc197efc441a0c699457890193a204e43f3b97c9,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020909.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,16580608,1cb56bd40f1c5508d56f2d406339f1c2d9b7e69f12964899b56e0b3570c37073,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020911.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6422528,c122c63332ec760e5ce456f3788ab1e1715752410765af8a68309ed5d4788d0d,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020913.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,11665408,0794b43420505e4c324099b2ef7fb5815708a000bfa2c84a9068c17ae7a495bf,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020914.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,851968,9aee8af167176e43e3c82d639120b97a018b68c2fead20ea1a3d0392e556a0ae,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020915.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1179648,ff8689b1836f21222abffdac162ecf8ae3b56674fecf94d324343265623fb4d8,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020916.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,65536,dae2453f0f0e32f8f8556706c34bd389928bcd96ac3359fe97d512ce7170a1e1,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020917.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,11141120,4ee5da7cadd03d3afa0fa8da0f1a3c6302205895cd3fdb8c7151b21fb1828f4a,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020918.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1114112,a8b849303703de599dc2e595550fd620a9f78ff48a1e71b234f8d09181370285,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020921.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14024704,64a332eb3db5030646fb823b6ea16b8533c70b29e808d5b01374f831dd30b0b3,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020922.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1441792,0836e852f2afac33dd4bad8fcdd1245dc8ad2065ebe27decc723f57581f5d19e,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020923.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14024704,bc0f1126e4ea19cf4c112b44b6138ebb81b9c9f979ff7a129fe0f162c4568dc4,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020925.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14024704,54493f8766ff8c3f9305b34ae6a19ae312de312e5ef36dcfd8f78c2f22bd17db,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20020927.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14024704,5e3713584f5b0af288e1d87435bda401b2c9324f8f21deab185fcc0b9e70a95d,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021007.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14024704,acb36af5e911c5d536024191a85880d9023351215c4e5a4d1e37a16e2686f1b9,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021019.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6946816,bbbf08567f4573c5d302cebe78df3801927db8a2e6caa5df0584aa5378393379,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021025.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,14483456,58609a1c1581600dd8ff05fff1ff189540d09673d0ba663927da830655a95a9f,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021101.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,8257536,0a3b8c262247d1c999fd3779ea5789a4fd6cfefd1bbb07b07f3b4c72cf307d2a,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021216.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3342336,1330cd4f3377d848bb622eca8b34f8d6a71c104531f8a2e67624917ef3703fac,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021222.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6029312,7e7f02aaa83df597d7899db6a83296a09c402f9bb7b47f9637c6491a16f91a4e,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021224.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,8323072,b0d6788d4bded89faec4526fae681fd08a3ed664338c9cb1650f17023bd7168a,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021225.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,9240576,9efbef20145c2e550ab2709759799dc7daefed95baa216b92cb7fabc8f767c0b,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021226.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,8454144,0fa28bb1fdfbafef3deef4d55e7e0f70aaa4b4b31a93a68c817b149fbc3449a0,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021227.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6160384,bb26ea03e090c26f556ec06cfad74260797a88ee9be207b7614637cc536ce51b,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021228.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,4718592,8a888dac4b3fbdd5381772fd39f645a2963df4b171c95270da6036f7d1b5193b,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021229.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,5046272,61397e5b6816f7212982931210a150c8317188d6c2660697f02a4d4b29361d42,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20021230.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,9699328,eb0bde355ff406d28d746c6d0f79ae4caabbd53cd272bb7282d572540516dcef,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030101.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,11075584,c8ae558ca68fe880f194b577e606a4f101dc074d4fa3b608bebfac3e0745b9f5,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030102.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3473408,0323dd5efe8ce44e3ab2ccaabcfac85a017ea7df4ab915d3d6b89f77f3233508,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030103.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3670016,f1a9aae1f5d842902a80b946bc6a98e3622162c29a8d59d3050ee29bbeab4190,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030104.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,5242880,dc37c98ffae02ab812f8840c8ab02d2d4c5731588f4cd79fbc13512dad665581,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030105.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,11862016,57d2a96b19424047805174e5bf14e2bcb2a055506ba58f23446a365dc2a93dde,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030106.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1966080,1379735252e6b063c561774c732ba21422a76e687cfa174ebe5c54f5eaab2cfc,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030107.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,10354688,ffbe198e620bab35a4ec76792f035f4d2d587e2961b27477144ada38e19b1b83,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030108.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1572864,458546b8ca4d3cf91f439d8b0a2772d3c0f0ec170626c42ac73b9acae8320bbd,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030109.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,458752,c6316470abb3999c5e90019e550fe982fbe9f778a38b2dedd92062e73b1b0381,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030110.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,2883584,02c36b7a043553e1f138579f47e6e3eedbc1ecdc8a20f2d80a0c8b994f5e8015,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030111.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3342336,19def07978d35ff0d0246f91dbf598f0781c17caefe98dc52aed058896c4ab0c,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030112.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3604480,aaee2dd3ae774242c4251d6bde2f8f74ca757ff5770b535f78ef784b6516dc95,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030113.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,8388608,1119a35891ce10836da7cd3a5d5d6199026d06e18d3062cade09a007123046ac,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030114.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,7929856,046e550ff49c233addd1c288ee57b8457bb5821693664312e51c400512155318,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030115.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,7602176,4b8860103d4364361d72540e1a8ea4598f0c28ec6196c9b4ad6b0e00e4eefe0b,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030116.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,2949120,6d7c9017c13b8fcc39a2bcb14d333b12bc611ba4cc7dbe7568b4a26e59a8a8a8,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030117.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6619136,6c033ec6d8dad0f6d532df758de72cea5da33fcdd5b763ffdaa00feac0e3598c,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030118.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,12320768,c828314ada975638355d5acf79fdabd30fa272a9c67d6cec5224dc0d3870ced8,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030119.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,10944512,653861600a34bf5538d72dc447af63f76e4fcf11215e0816f13e5fd1505efe1a,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030120.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6684672,6b0bfcb2bdbf590b645f779e12040b4eae060ed4b6e4b79debb7fa8a31e75535,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030121.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,9175040,e921954524d72424f20b7b376d03e439c1919382a669c77df765c5f0457b61bd,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030122.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1769472,6fa769c6a8a459961d03d91216ab48ed2a76b3c2e76c27db67ae2cd4a6c0e3dc,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030124.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,2097152,051eb16ae35afee66de1d27bce7d1793aa7b5eb17a26846306dd1f4675a8a5f1,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030125.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,6225920,ac0597fe21de9aac6f3236e609a58a7e947a2c297054c87fc5fa15d766fd01ae,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030126.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,9633792,84630dc278636a62f5095b66c90dd492cfe428c46e4c7f02bd3d42a07087f161,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030127.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,1966080,e96b484fb447053350410c23aa4538829b8bb5e53bd3a28d5cef44949ec51ce1,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030131.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,3997696,7dd554af08bb6eb3e261f67e28624c192a9b4539b268a02d1cef21bc7e7e41e3,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
01_当前主原始数据/ocean_color/modis_aqua_chla/AQUA_MODIS.20030201.L3m.DAY.CHL.chlor_a.4km.nc,01_当前主原始数据,hdf5,9895936,9d758c3643045a06b24b983e959bb0507928752a637f518517d8fc51f7864f5b,clean_modis_ocean_color,REJECTED,HDF5 文件截断（truncated file）
