row_id,station_id,month,target_month,actual_provenance,prediction,actual,residual,dataset_split_frozen,fold_id,fold_role,source,in_fit_months,fit_month_max,predict_month_min,predictor_row_id_span,model_sha256,run_id,protocol
320,TAIHU_WT,2011-08,2011-11,proxy_derived,0.438769933127572,0.65625,0.217480066872428,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
321,TAIHU_XK,2011-08,2011-11,proxy_derived,0.438769933127572,0.13541666666666666,-0.3033532664609053,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
322,TAIHU_ZS,2011-08,2011-11,proxy_derived,0.438769933127572,0.2604166666666667,-0.17835326646090532,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
326,TAIHU_CT,2011-11,2012-02,proxy_derived,0.43957739791073125,0.8229166666666666,0.3833392687559354,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
327,TAIHU_ET,2011-11,2012-02,proxy_derived,0.43957739791073125,0.609375,0.16979760208926875,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
328,TAIHU_GH,2011-11,2012-02,proxy_derived,0.43957739791073125,0.7534722222222222,0.31389482431149096,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
329,TAIHU_ML,2011-11,2012-02,proxy_derived,0.43957739791073125,0.8836805555555556,0.44410315764482433,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
330,TAIHU_ST,2011-11,2012-02,proxy_derived,0.43957739791073125,0.3020833333333333,-0.13749406457739793,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
331,TAIHU_WHOLE,2011-11,2012-02,proxy_derived,0.43957739791073125,0.7100694444444444,0.27049204653371317,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
332,TAIHU_WT,2011-11,2012-02,proxy_derived,0.43957739791073125,0.6701388888888888,0.2305614909781576,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
333,TAIHU_XK,2011-11,2012-02,proxy_derived,0.43957739791073125,0.4375,-0.002077397910731249,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
334,TAIHU_ZS,2011-11,2012-02,proxy_derived,0.43957739791073125,0.7465277777777778,0.30695037986704654,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
338,TAIHU_CT,2012-02,2012-05,proxy_derived,0.44793892450142453,0.11805555555555555,-0.329883368945869,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
339,TAIHU_ET,2012-02,2012-05,proxy_derived,0.44793892450142453,0.9027777777777778,0.45483885327635326,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
340,TAIHU_GH,2012-02,2012-05,proxy_derived,0.44793892450142453,0.11458333333333333,-0.3333555911680912,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
341,TAIHU_ML,2012-02,2012-05,proxy_derived,0.44793892450142453,0.3993055555555556,-0.04863336894586895,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
342,TAIHU_ST,2012-02,2012-05,proxy_derived,0.44793892450142453,0.22395833333333334,-0.2239805911680912,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
343,TAIHU_WHOLE,2012-02,2012-05,proxy_derived,0.44793892450142453,0.7847222222222222,0.3367832977207977,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
344,TAIHU_WT,2012-02,2012-05,proxy_derived,0.44793892450142453,0.4913194444444444,0.04338051994301989,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
345,TAIHU_XK,2012-02,2012-05,proxy_derived,0.44793892450142453,0.2725694444444444,-0.1753694800569801,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
346,TAIHU_ZS,2012-02,2012-05,proxy_derived,0.44793892450142453,0.9895833333333334,0.5416444088319088,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
350,TAIHU_CT,2012-05,2012-08,proxy_derived,0.6250667735042735,0.84375,0.21868322649572647,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
351,TAIHU_ET,2012-05,2012-08,proxy_derived,0.6250667735042735,0.9010416666666666,0.2759748931623931,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
352,TAIHU_GH,2012-05,2012-08,proxy_derived,0.6250667735042735,0.8020833333333334,0.17701655982905984,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
353,TAIHU_ML,2012-05,2012-08,proxy_derived,0.6250667735042735,0.8975694444444444,0.2725026709401709,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
354,TAIHU_ST,2012-05,2012-08,proxy_derived,0.6250667735042735,0.578125,-0.04694177350427353,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
355,TAIHU_WHOLE,2012-05,2012-08,proxy_derived,0.6250667735042735,0.8402777777777778,0.21521100427350426,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
356,TAIHU_WT,2012-05,2012-08,proxy_derived,0.6250667735042735,0.7326388888888888,0.10757211538461531,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
357,TAIHU_XK,2012-05,2012-08,proxy_derived,0.6250667735042735,0.3940972222222222,-0.23096955128205132,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
358,TAIHU_ZS,2012-05,2012-08,proxy_derived,0.6250667735042735,0.9375,0.31243322649572647,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
362,TAIHU_CT,2012-08,2012-11,proxy_derived,0.438769933127572,0.3767361111111111,-0.062033822016460904,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
363,TAIHU_ET,2012-08,2012-11,proxy_derived,0.438769933127572,0.9982638888888888,0.5594939557613168,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
364,TAIHU_GH,2012-08,2012-11,proxy_derived,0.438769933127572,0.4722222222222222,0.0334522890946502,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
365,TAIHU_ML,2012-08,2012-11,proxy_derived,0.438769933127572,0.6805555555555556,0.24178562242798357,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
366,TAIHU_ST,2012-08,2012-11,proxy_derived,0.438769933127572,0.2534722222222222,-0.1852977109053498,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
367,TAIHU_WHOLE,2012-08,2012-11,proxy_derived,0.438769933127572,0.8958333333333334,0.45706340020576136,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
368,TAIHU_WT,2012-08,2012-11,proxy_derived,0.438769933127572,0.9722222222222222,0.5334522890946503,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
369,TAIHU_XK,2012-08,2012-11,proxy_derived,0.438769933127572,0.4982638888888889,0.059493955761316886,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
370,TAIHU_ZS,2012-08,2012-11,proxy_derived,0.438769933127572,0.5277777777777778,0.08900784465020578,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
374,TAIHU_CT,2012-11,2013-02,proxy_derived,0.43957739791073125,0.5954861111111112,0.1559087132003799,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
375,TAIHU_ET,2012-11,2013-02,proxy_derived,0.43957739791073125,0.8559027777777778,0.41632537986704654,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
376,TAIHU_GH,2012-11,2013-02,proxy_derived,0.43957739791073125,0.7621527777777778,0.32257537986704654,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
377,TAIHU_ML,2012-11,2013-02,proxy_derived,0.43957739791073125,0.9270833333333334,0.4875059354226021,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-02,2011-05,225,3fdc358011f9ef4b6240b501fbd479f80c299b30d20de36a8f047bf2e35f3e23,T3-density-3m-s20260907-cv,train_internal_time_block_cv_v1
