row_id,station_id,month,target_month,actual_provenance,prediction,actual,residual,dataset_split_frozen,fold_id,fold_role,source,in_fit_months,fit_month_max,predict_month_min,predictor_row_id_span,model_sha256,run_id,protocol
314,TAIHU_CT,2011-08,2011-08,proxy_derived,0.323981881688913,0.6111111111111112,0.28712922942219815,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
315,TAIHU_ET,2011-08,2011-08,proxy_derived,0.2869045289201539,0.59375,0.3068454710798461,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
316,TAIHU_GH,2011-08,2011-08,proxy_derived,0.25771096850198394,0.5833333333333334,0.32562236483134943,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
317,TAIHU_ML,2011-08,2011-08,proxy_derived,0.5275128503224209,0.9739583333333334,0.44644548301091247,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
318,TAIHU_ST,2011-08,2011-08,proxy_derived,0.36972071345899465,0.3298611111111111,-0.03985960234788355,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
319,TAIHU_WHOLE,2011-08,2011-08,proxy_derived,0.43387295386904784,0.7986111111111112,0.3647381572420633,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
320,TAIHU_WT,2011-08,2011-08,proxy_derived,0.49044965966710763,0.7482638888888888,0.2578142292217812,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
321,TAIHU_XK,2011-08,2011-08,proxy_derived,0.25927126047178123,0.21006944444444445,-0.04920181602733678,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
322,TAIHU_ZS,2011-08,2011-08,proxy_derived,0.4838812468998017,0.8697916666666666,0.3859104197668649,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
326,TAIHU_CT,2011-11,2011-11,proxy_derived,0.38943953924162245,0.484375,0.09493546075837755,train,train_expanding_2fold_late,late_holdout_of_early_fit,oof,False,2011-05,2011-08,234,bf819f895c1f6ff33b4a4f770d40312abdbea42e3caa14402dabad9550a2e980,T3-density-0m-s20260907-cv,train_internal_time_block_cv_v1
