task_id,variant,target_month,actual,point_prediction,interval_p05,interval_p95,covered
T1,bloom,2025-02,0.0,0.1111111111111111,0.0,1.0,True
T1,bloom,2025-02,0.0,0.1111111111111111,0.0,1.0,True
T1,bloom,2025-03,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-03,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-04,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-04,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-05,0.0,0.0,0.0,0.8944444444444425,True
T1,bloom,2025-05,0.0,0.0,0.0,0.8944444444444425,True
T1,bloom,2025-06,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-06,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-07,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-07,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-08,0.0,0.5555555555555556,0.0,1.0,True
T1,bloom,2025-08,0.0,0.5555555555555556,0.0,1.0,True
T1,bloom,2025-09,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-09,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-10,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-10,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-11,0.0,0.3333333333333333,0.0,1.0,True
T1,bloom,2025-11,0.0,0.3333333333333333,0.0,1.0,True
T1,bloom,2025-12,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2025-12,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-01,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-01,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-02,0.0,0.1111111111111111,0.0,1.0,True
T1,bloom,2026-03,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-04,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-05,0.0,0.0,0.0,0.8944444444444425,True
T1,bloom,2026-06,0.0,0.21810699588477367,0.0,1.0,True
T1,bloom,2026-08,1.0,0.5555555555555556,0.0,1.0,True
T1,bloom,2026-08,0.0,0.5555555555555556,0.0,1.0,True
T3,density,2017-11,0.7222222222222222,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
