hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080733600,4080726610,intersects_taihu_buffer,872.6,872.6,43502036,2
4080733720,4080767590,upstream_next_down_chain,280.4,165041.0,43499531,1
4080733760,4080739540,upstream_next_down_chain,63.1,19743.5,43494451,3
4080733770,4080739540,upstream_next_down_chain,41.2,11080.9,43494441,4
4080733780,4080734610,upstream_next_down_chain,2180.5,959346.3,43491750,1
4080733870,4080767590,upstream_next_down_chain,887.5,5474.9,43499521,2
4080733930,4080734800,intersects_taihu_buffer,139.4,3156.0,43502061,2
4080734080,4080722800,upstream_next_down_chain,359.8,1926.2,43499545,2
4080734090,4080722800,upstream_next_down_chain,525.0,525.0,43499544,3
4080734110,4080734710,upstream_next_down_chain,469.8,1927.4,43496605,3
4080734230,4080733870,upstream_next_down_chain,165.0,4200.6,43499523,2
4080734260,4080734710,upstream_next_down_chain,1763.1,1763.1,43496604,4
4080734410,4080733870,upstream_next_down_chain,386.6,386.6,43499522,3
4080734600,4080733770,upstream_next_down_chain,179.5,10238.0,43494443,4
4080734610,4080732820,upstream_next_down_chain,441.1,961665.3,43491730,1
4080734710,4080738870,upstream_next_down_chain,155.7,3845.9,43496603,3
4080734750,4080733770,upstream_next_down_chain,801.8,801.8,43494442,5
4080734800,4080734930,intersects_taihu_buffer,61.7,13443.6,43502050,1
4080734830,4080738870,upstream_next_down_chain,395.6,395.6,43496602,4
4080734900,4080732820,upstream_next_down_chain,1629.3,1629.3,43491720,2
4080734920,4080734930,intersects_taihu_buffer,52.4,4560.2,43502041,2
4080734930,4080733590,intersects_taihu_buffer,252.3,18255.9,43502039,1
4080734990,4080751960,upstream_next_down_chain,81.1,21854.0,43496235,3
4080735020,4080736100,upstream_next_down_chain,432.7,971143.5,43491570,1
4080735040,4080733590,intersects_taihu_buffer,891.3,891.4,43502038,2
4080735140,4080736100,upstream_next_down_chain,784.9,784.9,43491560,2
4080735260,4080751960,upstream_next_down_chain,602.1,602.1,43496234,4
4080735510,4080741820,upstream_next_down_chain,1003.6,7788.0,43462053,3
4080735520,4080740780,upstream_next_down_chain,731.7,731.9,43450408,3
4080735530,4080740780,upstream_next_down_chain,465.0,465.0,43450409,2
4080735540,4080731860,upstream_next_down_chain,552.8,552.8,43430718,2
4080735680,4080741820,upstream_next_down_chain,949.2,949.2,43462052,4
4080735690,4080731860,upstream_next_down_chain,113.3,1681535.8,43430719,1
4080736060,4080736790,upstream_next_down_chain,1476.2,1476.2,43495698,3
4080736100,4080743530,upstream_next_down_chain,728.2,972657.4,43491550,1
4080736110,4080743530,upstream_next_down_chain,199.5,3211.9,43491541,2
4080736260,4080736790,upstream_next_down_chain,1359.4,1359.6,43495699,2
4080736300,4080737110,upstream_next_down_chain,1716.5,1716.5,43491780,2
4080736470,4080736630,upstream_next_down_chain,1297.4,2245.4,43499527,2
4080736520,4080737110,upstream_next_down_chain,287.5,952331.5,43491790,1
4080736630,4080734230,upstream_next_down_chain,0.4,2761.8,43499525,2
4080736750,4080736630,upstream_next_down_chain,516.2,516.2,43499526,3
4080736760,4080734230,upstream_next_down_chain,1273.6,1273.8,43499524,3
4080736790,4080739250,upstream_next_down_chain,4.9,2840.6,43495697,2
4080736800,4080741170,upstream_next_down_chain,788.1,5061.6,43494241,4
4080736820,4080736520,upstream_next_down_chain,2141.2,946877.7,43491910,1
4080736830,4080736520,upstream_next_down_chain,144.5,5165.5,43491801,2
4080736980,4080739250,upstream_next_down_chain,1142.4,1142.4,43495696,3
4080736990,4080741170,upstream_next_down_chain,892.9,18305.4,43494250,3
4080737030,4080734920,intersects_taihu_buffer,359.5,359.5,43502042,3
4080737110,4080733780,upstream_next_down_chain,56.9,954104.9,43491770,1
4080737140,4080734920,intersects_taihu_buffer,407.4,4148.5,43502043,2
