grid_id,experimental_zone_id,centroid_x_m,centroid_y_m,water_area_m2
TH_G_210_3449,EXP_ZONE_02,210500.0000000002,3449500.0,999999.9999996217
TH_G_210_3450,EXP_ZONE_02,210500.00000000044,3450500.0,1000000.0000002328
TH_G_210_3451,EXP_ZONE_02,210500.0000000002,3451499.9999999995,999999.9999986903
TH_G_210_3452,EXP_ZONE_02,210499.9999999998,3452500.0,999999.9999988067
TH_G_210_3453,EXP_ZONE_02,210499.99999999994,3453500.0000000005,999999.9999990396
TH_G_210_3454,EXP_ZONE_02,210500.00000000017,3454499.9999999995,999999.9999996508
TH_G_210_3455,EXP_ZONE_02,210500.0,3455499.9999999995,1000000.0000016589
TH_G_210_3456,EXP_ZONE_02,210499.9999999996,3456499.9999999995,1000000.0000006403
TH_G_210_3457,EXP_ZONE_02,210499.99999999983,3457499.9999999995,1000000.0000000291
TH_G_210_3458,EXP_ZONE_02,210499.99999999988,3458500.0,1000000.0000018626
TH_G_210_3459,EXP_ZONE_02,210500.00000000012,3459500.0000000005,1000000.0000003492
TH_G_210_3460,EXP_ZONE_02,210499.99999999994,3460499.999999999,999999.9999989523
TH_G_210_3461,EXP_ZONE_02,210500.0000000001,3461499.9999999995,1000000.0000003492
TH_G_210_3462,EXP_ZONE_02,210500.00000000003,3462500.0,999999.9999997672
TH_G_210_3463,EXP_ZONE_02,210499.99999999983,3463499.9999999995,1000000.0000007276
TH_G_211_3424,EXP_ZONE_01,211500.00000000032,3424499.9999999995,999999.9999994179
TH_G_211_3425,EXP_ZONE_01,211500.0000000001,3425499.999999999,999999.9999997672
TH_G_211_3426,EXP_ZONE_01,211500.00000000052,3426500.000000001,1000000.0000011642
TH_G_211_3427,EXP_ZONE_01,211499.99999999974,3427499.9999999995,999999.9999998254
TH_G_211_3428,EXP_ZONE_01,211499.9999999994,3428499.9999999995,999999.9999993306
TH_G_211_3429,EXP_ZONE_01,211500.0000000001,3429500.0,999999.9999983993
TH_G_211_3430,EXP_ZONE_01,211500.00000000052,3430499.9999999995,999999.999999156
TH_G_211_3431,EXP_ZONE_01,211499.99999999994,3431500.0000000005,1000000.0000001164
TH_G_211_3432,EXP_ZONE_01,211499.99999999983,3432500.0,1000000.0000007858
TH_G_211_3433,EXP_ZONE_01,211499.99999999962,3433500.0,1000000.0000006694
TH_G_211_3434,EXP_ZONE_01,211499.9999999997,3434499.999999999,1000000.0000003783
TH_G_211_3435,EXP_ZONE_01,211499.99999999977,3435500.0000000005,1000000.0000012806
TH_G_211_3436,EXP_ZONE_01,211499.99999999988,3436499.9999999995,999999.9999979336
TH_G_211_3437,EXP_ZONE_01,211500.00000000047,3437499.9999999995,1000000.0000003783
TH_G_211_3438,EXP_ZONE_01,211500.00000000003,3438500.0,1000000.0000003492
TH_G_211_3439,EXP_ZONE_01,211499.99999999994,3439500.0,1000000.0000001164
TH_G_211_3440,EXP_ZONE_01,211500.00000000012,3440500.0,1000000.0000004657
TH_G_211_3441,EXP_ZONE_01,211500.00000000006,3441500.0,1000000.000000291
TH_G_211_3442,EXP_ZONE_01,211500.0000000005,3442499.9999999995,1000000.0000004948
TH_G_211_3443,EXP_ZONE_01,211500.0,3443500.0,1000000.0000017753
TH_G_211_3444,EXP_ZONE_02,211499.9999999999,3444500.0,1000000.0000000582
TH_G_211_3445,EXP_ZONE_02,211500.00000000023,3445499.999999999,999999.9999991269
TH_G_211_3446,EXP_ZONE_02,211500.00000000032,3446499.9999999995,999999.9999987194
TH_G_211_3447,EXP_ZONE_02,211500.00000000032,3447500.0,999999.9999991269
TH_G_211_3448,EXP_ZONE_02,211500.00000000038,3448500.0,1000000.0000003492
TH_G_211_3449,EXP_ZONE_02,211500.00000000032,3449499.999999999,1000000.0000001746
TH_G_211_3450,EXP_ZONE_02,211500.00000000032,3450499.9999999995,1000000.0000003201
TH_G_211_3451,EXP_ZONE_02,211499.9999999999,3451500.0,1000000.0000003201
TH_G_211_3452,EXP_ZONE_02,211499.9999999997,3452500.0,1000000.0000018917
TH_G_211_3453,EXP_ZONE_02,211499.99999999962,3453499.9999999995,1000000.0000003492
TH_G_211_3454,EXP_ZONE_02,211499.99999999994,3454500.0000000005,999999.9999983411
TH_G_211_3455,EXP_ZONE_02,211500.00000000026,3455499.9999999995,1000000.0000002619
TH_G_211_3456,EXP_ZONE_02,211499.99999999988,3456500.0,999999.9999991851
TH_G_211_3457,EXP_ZONE_02,211500.0,3457499.9999999995,1000000.000000553
TH_G_211_3458,EXP_ZONE_02,211500.00000000017,3458499.9999999995,999999.9999996508
TH_G_211_3459,EXP_ZONE_02,211499.9999999999,3459500.0000000005,999999.999998865
TH_G_211_3460,EXP_ZONE_02,211500.0000000001,3460500.0,1000000.0000004075
TH_G_211_3461,EXP_ZONE_02,211500.00000000026,3461499.9999999995,1000000.0000012224
TH_G_211_3462,EXP_ZONE_02,211500.00000000052,3462499.9999999995,999999.9999992142
TH_G_211_3463,EXP_ZONE_02,211499.99999999997,3463499.9999999986,999999.9999996508
TH_G_212_3424,EXP_ZONE_01,212499.99999999956,3424499.9999999986,999999.9999993597
TH_G_212_3425,EXP_ZONE_01,212500.00000000012,3425499.9999999995,1000000.0000002619
TH_G_212_3426,EXP_ZONE_01,212500.00000000058,3426499.999999999,1000000.0000003201
TH_G_212_3427,EXP_ZONE_01,212499.99999999983,3427500.0000000005,999999.9999999418
TH_G_212_3428,EXP_ZONE_01,212499.99999999898,3428499.9999999995,1000000.000000291
TH_G_212_3429,EXP_ZONE_01,212499.99999999983,3429500.0,999999.999999447
TH_G_212_3430,EXP_ZONE_01,212499.99999999968,3430500.0,999999.9999993306
TH_G_212_3431,EXP_ZONE_01,212499.99999999924,3431500.0,999999.9999997963
TH_G_212_3432,EXP_ZONE_01,212500.0000000001,3432499.9999999995,999999.9999998836
TH_G_212_3433,EXP_ZONE_01,212500.00000000006,3433500.0,999999.9999972642
TH_G_212_3434,EXP_ZONE_01,212500.00000000003,3434499.9999999995,1000000.0000009895
TH_G_212_3435,EXP_ZONE_01,212500.00000000017,3435500.0,1000000.000002532
TH_G_212_3436,EXP_ZONE_01,212499.9999999999,3436500.0,999999.9999996799
TH_G_212_3437,EXP_ZONE_01,212500.00000000006,3437499.9999999995,1000000.0000005821
TH_G_212_3438,EXP_ZONE_01,212499.99999999988,3438499.9999999995,999999.9999989523
TH_G_212_3439,EXP_ZONE_01,212499.99999999974,3439499.9999999995,999999.999998865
TH_G_212_3440,EXP_ZONE_01,212500.00000000026,3440500.0000000005,1000000.0000003783
TH_G_212_3441,EXP_ZONE_01,212500.0000000002,3441499.9999999995,999999.999999709
TH_G_212_3442,EXP_ZONE_01,212500.0000000002,3442500.0,999999.9999983993
TH_G_212_3443,EXP_ZONE_02,212500.00000000015,3443500.0000000005,999999.9999992142
TH_G_212_3444,EXP_ZONE_02,212499.9999999999,3444499.9999999995,999999.9999992142
TH_G_212_3445,EXP_ZONE_02,212499.99999999977,3445500.0,999999.9999995925
TH_G_212_3446,EXP_ZONE_02,212500.0,3446499.9999999995,1000000.0000010186
TH_G_212_3447,EXP_ZONE_02,212500.00000000044,3447500.0,1000000.0000016298
TH_G_212_3448,EXP_ZONE_02,212500.00000000047,3448499.9999999995,999999.9999991269
TH_G_212_3449,EXP_ZONE_02,212500.00000000038,3449500.0,999999.9999993015
TH_G_212_3450,EXP_ZONE_02,212499.99999999974,3450500.0000000005,999999.9999999709
TH_G_212_3451,EXP_ZONE_02,212500.0,3451500.0,999999.9999991269
TH_G_212_3452,EXP_ZONE_02,212500.0000000005,3452500.0,1000000.0000006694
TH_G_212_3453,EXP_ZONE_02,212500.00000000017,3453499.9999999995,1000000.000001106
TH_G_212_3454,EXP_ZONE_02,212499.99999999997,3454499.9999999995,1000000.0000001455
TH_G_212_3455,EXP_ZONE_02,212500.00000000052,3455499.9999999995,1000000.0000017753
TH_G_212_3456,EXP_ZONE_02,212500.00000000058,3456499.9999999995,1000000.0000000873
TH_G_212_3457,EXP_ZONE_02,212499.9999999995,3457500.0,999999.9999995925
TH_G_212_3458,EXP_ZONE_02,212499.99999999942,3458500.0,999999.9999995052
TH_G_212_3459,EXP_ZONE_02,212499.99999999948,3459500.0000000005,999999.999999447
TH_G_212_3460,EXP_ZONE_02,212499.99999999994,3460500.0000000005,1000000.0000001455
TH_G_212_3461,EXP_ZONE_02,212500.0000000005,3461499.9999999995,999999.9999987194
TH_G_212_3462,EXP_ZONE_02,212500.00000000064,3462499.9999999995,1000000.000000291
TH_G_212_3463,EXP_ZONE_02,212500.0,3463499.9999999995,999999.9999997381
TH_G_213_3424,EXP_ZONE_01,213499.99999999968,3424499.9999999995,1000000.0000003492
TH_G_213_3425,EXP_ZONE_03,213499.99999999988,3425499.9999999986,999999.9999999418
TH_G_213_3426,EXP_ZONE_03,213500.00000000038,3426499.9999999995,999999.9999999418
TH_G_213_3427,EXP_ZONE_01,213499.99999999927,3427500.0,999999.999999709
TH_G_213_3428,EXP_ZONE_01,213499.9999999992,3428499.999999999,999999.9999994761
TH_G_213_3429,EXP_ZONE_01,213499.99999999956,3429499.999999999,1000000.0000004657
TH_G_213_3430,EXP_ZONE_01,213499.9999999994,3430500.0000000005,999999.9999996799
TH_G_213_3431,EXP_ZONE_01,213499.99999999953,3431500.0,1000000.0000009022
TH_G_213_3432,EXP_ZONE_03,213499.99999999988,3432499.9999999995,1000000.000000844
TH_G_213_3433,EXP_ZONE_03,213499.9999999999,3433499.9999999995,999999.9999995052
TH_G_213_3434,EXP_ZONE_01,213499.99999999974,3434499.999999999,999999.9999998545
TH_G_213_3435,EXP_ZONE_03,213500.00000000044,3435500.0000000005,999999.9999993306
TH_G_213_3436,EXP_ZONE_03,213500.00000000038,3436500.0,1000000.0000000291
TH_G_213_3437,EXP_ZONE_03,213499.9999999999,3437499.9999999995,1000000.0000004366
TH_G_213_3438,EXP_ZONE_01,213499.99999999965,3438500.0,1000000.0000001164
TH_G_213_3439,EXP_ZONE_01,213499.9999999995,3439499.9999999995,999999.9999996799
TH_G_213_3440,EXP_ZONE_01,213499.99999999977,3440500.0,999999.9999996799
TH_G_213_3441,EXP_ZONE_01,213499.99999999983,3441500.000000001,1000000.000000553
TH_G_213_3442,EXP_ZONE_03,213500.00000000012,3442500.0,1000000.000000553
TH_G_213_3443,EXP_ZONE_03,213499.99999999997,3443499.9999999995,999999.9999998545
TH_G_213_3444,EXP_ZONE_04,213499.99999999997,3444500.0,1000000.0000010768
TH_G_213_3445,EXP_ZONE_04,213500.00000000012,3445499.9999999995,1000000.000000553
TH_G_213_3446,EXP_ZONE_04,213500.0000000004,3446499.9999999986,999999.9999992142
TH_G_213_3447,EXP_ZONE_04,213500.00000000058,3447500.0,1000000.0000001455
TH_G_213_3448,EXP_ZONE_04,213500.00000000017,3448500.0,999999.9999993306
TH_G_213_3449,EXP_ZONE_02,213499.9999999998,3449500.0,1000000.0000001455
TH_G_213_3450,EXP_ZONE_02,213499.9999999993,3450500.0000000005,999999.9999992724
TH_G_213_3451,EXP_ZONE_02,213499.99999999977,3451500.0,999999.9999999418
TH_G_213_3452,EXP_ZONE_04,213500.00000000023,3452500.0,999999.9999990687
TH_G_213_3453,EXP_ZONE_04,213500.00000000017,3453499.9999999995,1000000.0000004075
TH_G_213_3454,EXP_ZONE_04,213500.00000000032,3454500.0,999999.999997759
TH_G_213_3455,EXP_ZONE_04,213500.0000000005,3455499.999999999,999999.999998603
TH_G_213_3456,EXP_ZONE_02,213499.99999999985,3456500.0,1000000.0000001746
TH_G_213_3457,EXP_ZONE_02,213499.99999999945,3457499.9999999995,999999.9999998254
TH_G_213_3458,EXP_ZONE_02,213499.99999999942,3458500.0000000005,1000000.0000004657
TH_G_213_3459,EXP_ZONE_02,213499.99999999953,3459500.0000000005,999999.9999997672
TH_G_213_3460,EXP_ZONE_02,213499.99999999985,3460500.0000000005,999999.9999999709
TH_G_213_3461,EXP_ZONE_04,213500.00000000035,3461500.0,1000000.0000004657
TH_G_213_3462,EXP_ZONE_04,213500.00000000052,3462500.0,1000000.0000006403
TH_G_213_3463,EXP_ZONE_04,213500.00000000052,3463500.0000000005,1000000.0000004657
TH_G_214_3424,EXP_ZONE_03,214499.9999999999,3424500.0,999999.9999991851
TH_G_214_3425,EXP_ZONE_03,214499.99999999956,3425499.9999999995,999999.9999995634
TH_G_214_3426,EXP_ZONE_03,214499.99999999988,3426500.0,1000000.0000004657
TH_G_214_3427,EXP_ZONE_03,214499.99999999968,3427499.9999999995,999999.9999996799
TH_G_214_3428,EXP_ZONE_03,214499.99999999988,3428499.999999999,1000000.0000012515
TH_G_214_3429,EXP_ZONE_03,214499.99999999977,3429499.999999999,1000000.0000018044
TH_G_214_3430,EXP_ZONE_03,214499.99999999965,3430500.0000000005,1000000.0000003783
TH_G_214_3431,EXP_ZONE_03,214500.00000000035,3431499.9999999995,1000000.0
TH_G_214_3432,EXP_ZONE_03,214500.0000000001,3432500.0,999999.9999994179
TH_G_214_3433,EXP_ZONE_03,214499.99999999994,3433500.0000000005,1000000.0000003783
TH_G_214_3434,EXP_ZONE_03,214499.99999999965,3434499.9999999995,1000000.0000001746
TH_G_214_3435,EXP_ZONE_03,214499.99999999988,3435499.9999999995,1000000.0000007567
TH_G_214_3436,EXP_ZONE_03,214500.00000000067,3436500.0000000005,999999.9999997381
