layer,rows,non_null,month_range,stations,value_min,value_max,unit,quality,source_file,is_ground_truth,present,nunique,min,max,note,mech_design_columns,mech_design_valid_rows_of_train,mech_design_n_columns,mech_fit_would_fallback_constant
1_清洗层 water_quality.parquet,576,576,"['2005-02', '2020-11']",9.0,0.001225,76.9029,['mg/L'],{'valid': 576},['01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx'],True,,,,,,,,,
2_装配层 model_dataset.parquet (wq_phyto_biomass),914,576,,,,,,,,,True,569.0,0.001225,76.9029,,,,,
3_监督底表 features_base.parquet (wq_phyto_biomass),914,576,,,,,,,,,True,569.0,0.001225,76.9029,,,,,
4_任务监督表 T1-bloom-0m,657,576,,,,,,,,,True,,,,契约含 wq_phyto_biomass,"['mech_temperature_factor', 'mech_light_factor', 'mech_phosphorus_factor', 'mech_nitrogen_factor', 'mech_nutrient_factor', 'mech_net_growth_rate_d', 'wq_tp', 'wq_tn', 'wq_do', 'wq_nh4_n', 'wq_phyto_biomass', 'met_air_temperature_c', 'met_shortwave_radiation_wm2', 'hydro_water_level_m', 'calendar_month_sin', 'calendar_month_cos', 'log1p_wq_chla']",586.0,17.0,False
4_任务监督表 T4-biomass-0m,576,0,,,,,,,,,False,,,,契约剔除 wq_phyto_biomass（TARGET_SOURCE_FEATURE_EXCLUSIONS 防同月泄漏）→ 列不存在,"['mech_temperature_factor', 'mech_light_factor', 'mech_phosphorus_factor', 'mech_nitrogen_factor', 'mech_nutrient_factor', 'mech_net_growth_rate_d', 'wq_tp', 'wq_tn', 'wq_do', 'wq_nh4_n', 'wq_phyto_biomass', 'met_air_temperature_c', 'met_shortwave_radiation_wm2', 'hydro_water_level_m', 'calendar_month_sin', 'calendar_month_cos', 'log1p_wq_chla']",0.0,17.0,True
4_任务监督表 T3-density-0m,576,0,,,,,,,,,False,,,,契约剔除 wq_phyto_biomass（TARGET_SOURCE_FEATURE_EXCLUSIONS 防同月泄漏）→ 列不存在,"['mech_temperature_factor', 'mech_light_factor', 'mech_phosphorus_factor', 'mech_nitrogen_factor', 'mech_nutrient_factor', 'mech_net_growth_rate_d', 'wq_tp', 'wq_tn', 'wq_do', 'wq_nh4_n', 'wq_phyto_biomass', 'met_air_temperature_c', 'met_shortwave_radiation_wm2', 'hydro_water_level_m', 'calendar_month_sin', 'calendar_month_cos', 'log1p_wq_chla']",0.0,17.0,True
4_任务监督表 T5-chla-0m,618,576,,,,,,,,,True,,,,契约含 wq_phyto_biomass,"['mech_temperature_factor', 'mech_light_factor', 'mech_phosphorus_factor', 'mech_nitrogen_factor', 'mech_nutrient_factor', 'mech_net_growth_rate_d', 'wq_tp', 'wq_tn', 'wq_do', 'wq_nh4_n', 'wq_phyto_biomass', 'met_air_temperature_c', 'met_shortwave_radiation_wm2', 'hydro_water_level_m', 'calendar_month_sin', 'calendar_month_cos', 'log1p_wq_chla']",586.0,17.0,False
